source_name,sentence,sentences_before,sentences_after,concept_name,quantifiers,id,bert_score,headings,categories,GENERIC SENTENCE
SimpleWikipedia,Sepsis happens when the bacterium enters the blood and make it form tiny clots.,[],[],sepsis,[],SimpleWikipedia--tmp-sw-rs1-with-bug-fixes-initialprocessing-inputs-articles-with-clean-sentences-jsonl-c27816b298e1e0b5326916ee4e2fd0f1603caa77-100-Bubonic-plague--Different-kinds-of-the-same-disease--Septicemic-plague-0-0-039fbe9c11adde4ff9a829376ca7e0ed-1560874903-47882-/Users/chloea/Documents/aristo/commonsense/kbs/simplewikipedia/commonsense-filtered-good-rs1.jsonl-1f33b1e84018a2b1bfdf446f9a6491568b5585da-1561086091.8220549,0.8396177887916565,"['Bubonic plague', 'Different kinds of the same disease', 'Septicemic plague']","['Diseases caused by bacteria', 'Pulmonology']",Sepsis happens when the bacterium enters the blood and make it form tiny clots.
SimpleWikipedia,Incubation period is only one to two days.,['This happens when the bacterium can enter the lungs.'],[],incubation period,[],SimpleWikipedia--tmp-sw-rs1-with-bug-fixes-initialprocessing-inputs-articles-with-clean-sentences-jsonl-c27816b298e1e0b5326916ee4e2fd0f1603caa77-100-Bubonic-plague--Different-kinds-of-the-same-disease--Pneumonic-plague-0-1-583fd81d995ce6577623317271bbc0c4-1560874903-497869-/Users/chloea/Documents/aristo/commonsense/kbs/simplewikipedia/commonsense-filtered-good-rs1.jsonl-1f33b1e84018a2b1bfdf446f9a6491568b5585da-1561086091.830626,0.11296730488538742,"['Bubonic plague', 'Different kinds of the same disease', 'Pneumonic plague']","['Diseases caused by bacteria', 'Pulmonology']",Incubation period is only one to two days.
SimpleWikipedia,Scuba diving is a common tourist activity.,"['Retrieved April 2010.', 'Fiji has many soft coral reefs.']","['More budget resorts are being opened in remote areas, which provides more tourism opportunities.']",scuba diving,[],SimpleWikipedia--tmp-sw-rs1-with-bug-fixes-initialprocessing-inputs-articles-with-clean-sentences-jsonl-c27816b298e1e0b5326916ee4e2fd0f1603caa77-10005-Fiji--Tourism-1-2-caa1b37ab2377878a79647a1a9aec521-1560874904-395056-/Users/chloea/Documents/aristo/commonsense/kbs/simplewikipedia/commonsense-filtered-good-rs1.jsonl-1f33b1e84018a2b1bfdf446f9a6491568b5585da-1561086091.8456802,0.20786969363689423,"['Fiji', 'Tourism']","['Fiji', 'Commonwealth member states']",Scuba diving is a common tourist activity.
SimpleWikipedia,"Gradual changes lead to turning points, where one force overcomes the other.",[],[],gradual change,[],SimpleWikipedia--tmp-sw-rs1-with-bug-fixes-initialprocessing-inputs-articles-with-clean-sentences-jsonl-c27816b298e1e0b5326916ee4e2fd0f1603caa77-100084-Dialectic-4-0-bb881d7563078cb897ef55d8dd62bb52-1560874904-681333-/Users/chloea/Documents/aristo/commonsense/kbs/simplewikipedia/commonsense-filtered-good-rs1.jsonl-1f33b1e84018a2b1bfdf446f9a6491568b5585da-1561086091.8614862,0.14285483956336975,['Dialectic'],['Philosophy'],"Gradual changes lead to turning points, where one force overcomes the other."
SimpleWikipedia,Many streets bear the names of epic heroes.,"['It was invaded by the French in 1859.', 'Saigon it was the capital of French Indochina and became an important city in French colonial trade.', 'The tradition of naming places in Vietnam after great people is very common.']",['Hai Ba Trung street is named after heroic sisters.'],street,['number'],SimpleWikipedia--tmp-sw-rs1-with-bug-fixes-initialprocessing-inputs-articles-with-clean-sentences-jsonl-c27816b298e1e0b5326916ee4e2fd0f1603caa77-10012-Ho-Chi-Minh-City--History-0-3-0d9513de46dbb3c676256d7ed90a479b-1560874905-392212-/Users/chloea/Documents/aristo/commonsense/kbs/simplewikipedia/commonsense-filtered-good-rs1.jsonl-1f33b1e84018a2b1bfdf446f9a6491568b5585da-1561086091.86949,0.15194590389728546,"['Ho Chi Minh City', 'History']",['Cities in Vietnam'],Many streets bear the names of epic heroes.
SimpleWikipedia,Bicycle riding around the Mekong delta is very easy in dry weather.,[],"['Because of the flatness, roads and buildings sink into the draining soil.', 'Lying water keeps pollution very close to city homes.', 'The rising tides can flood many districts when the moon is fullest.']",bicycle,[],SimpleWikipedia--tmp-sw-rs1-with-bug-fixes-initialprocessing-inputs-articles-with-clean-sentences-jsonl-c27816b298e1e0b5326916ee4e2fd0f1603caa77-10012-Ho-Chi-Minh-City--Geography-0-0-7abda0a92f646b859e9c9864e98e300e-1560874905-437958-/Users/chloea/Documents/aristo/commonsense/kbs/simplewikipedia/commonsense-filtered-good-rs1.jsonl-1f33b1e84018a2b1bfdf446f9a6491568b5585da-1561086091.877701,0.12554296851158142,"['Ho Chi Minh City', 'Geography']",['Cities in Vietnam'],Bicycle riding around the Mekong delta is very easy in dry weather.
SimpleWikipedia,Most people drink from large  bottles of water - .,"[""Because rainwater can't be kept in valleys or mountains, the city-water is dangerous to drink.""]",[],people,['number'],SimpleWikipedia--tmp-sw-rs1-with-bug-fixes-initialprocessing-inputs-articles-with-clean-sentences-jsonl-c27816b298e1e0b5326916ee4e2fd0f1603caa77-10012-Ho-Chi-Minh-City--Geography-1-1-8a668ff9c5a3271ccddada137aba5483-1560874905-483681-/Users/chloea/Documents/aristo/commonsense/kbs/simplewikipedia/commonsense-filtered-good-rs1.jsonl-1f33b1e84018a2b1bfdf446f9a6491568b5585da-1561086091.8853278,0.10125631839036942,"['Ho Chi Minh City', 'Geography']",['Cities in Vietnam'],Most people drink from large  bottles of water - .
SimpleWikipedia,People catch and consume the snakes.,"['Inside the wetlands there are birds, deer, fish, frogs, insects, lizards, monkeys, otters, and snakes.']",[],People,[],SimpleWikipedia--tmp-sw-rs1-with-bug-fixes-initialprocessing-inputs-articles-with-clean-sentences-jsonl-c27816b298e1e0b5326916ee4e2fd0f1603caa77-10012-Ho-Chi-Minh-City--Environment-2-1-55f9a9bea667b70664d8d67bb9e462aa-1560874905-561856-/Users/chloea/Documents/aristo/commonsense/kbs/simplewikipedia/commonsense-filtered-good-rs1.jsonl-1f33b1e84018a2b1bfdf446f9a6491568b5585da-1561086091.892438,0.03936925530433655,"['Ho Chi Minh City', 'Environment']",['Cities in Vietnam'],People catch and consume the snakes.
SimpleWikipedia,Many small docks operate around the city.,"['The city is a river port on the Saigon River.', 'Several larger terminals operate outside and inside of the city.']","['The river system leads out to sea at Vung Tau, or onto the Mekong delta.']",small dock,['number'],SimpleWikipedia--tmp-sw-rs1-with-bug-fixes-initialprocessing-inputs-articles-with-clean-sentences-jsonl-c27816b298e1e0b5326916ee4e2fd0f1603caa77-10012-Ho-Chi-Minh-City--Port-0-2-c8f2fcde88bdf62622fda84e98320983-1560874905-601724-/Users/chloea/Documents/aristo/commonsense/kbs/simplewikipedia/commonsense-filtered-good-rs1.jsonl-1f33b1e84018a2b1bfdf446f9a6491568b5585da-1561086091.900465,0.13054950535297394,"['Ho Chi Minh City', 'Port']",['Cities in Vietnam'],Many small docks operate around the city.
SimpleWikipedia,Farm produce distributors can arrive by boat in many districts outside the city.,['Delivery of materials for the city can be made by boat.'],[],farm,[],SimpleWikipedia--tmp-sw-rs1-with-bug-fixes-initialprocessing-inputs-articles-with-clean-sentences-jsonl-c27816b298e1e0b5326916ee4e2fd0f1603caa77-10012-Ho-Chi-Minh-City--Port-1-1-fd7485b1c121921d21b7d7e01fa9a9a7-1560874905-636965-/Users/chloea/Documents/aristo/commonsense/kbs/simplewikipedia/commonsense-filtered-good-rs1.jsonl-1f33b1e84018a2b1bfdf446f9a6491568b5585da-1561086091.908885,0.06325957924127579,"['Ho Chi Minh City', 'Port']",['Cities in Vietnam'],Farm produce distributors can arrive by boat in many districts outside the city.
